Noun;Count;Relative_Frequency;Corpus
communication;11;0.06%;ICE-HK
competition;11;0.06%;ICE-HK
cord;11;0.06%;ICE-HK
devices;11;0.06%;ICE-HK
discourse;11;0.06%;ICE-HK
drainage;11;0.06%;ICE-HK
firms;11;0.06%;ICE-HK
glass;11;0.06%;ICE-HK
head;11;0.06%;ICE-HK
home;11;0.06%;ICE-HK
hyperglycaemia;11;0.06%;ICE-HK
kg/m;11;0.06%;ICE-HK
knowledge;11;0.06%;ICE-HK
learning;11;0.06%;ICE-HK
lives;11;0.06%;ICE-HK
location;11;0.06%;ICE-HK
measures;11;0.06%;ICE-HK
men;11;0.06%;ICE-HK
model;11;0.06%;ICE-HK
opportunity;11;0.06%;ICE-HK
past;11;0.06%;ICE-HK
places;11;0.06%;ICE-HK
plan;11;0.06%;ICE-HK
plays;11;0.06%;ICE-HK
possibility;11;0.06%;ICE-HK
present;11;0.06%;ICE-HK
protocol;11;0.06%;ICE-HK
Pumping;11;0.06%;ICE-HK
relationship;11;0.06%;ICE-HK
Runner;11;0.06%;ICE-HK
slopes;11;0.06%;ICE-HK
stones;11;0.06%;ICE-HK
style;11;0.06%;ICE-HK
survey;11;0.06%;ICE-HK
territory;11;0.06%;ICE-HK
therapy;11;0.06%;ICE-HK
training;11;0.06%;ICE-HK
translators;11;0.06%;ICE-HK
trend;11;0.06%;ICE-HK
urine;11;0.06%;ICE-HK
vegetation;11;0.06%;ICE-HK
view;11;0.06%;ICE-HK
wellbeing;11;0.06%;ICE-HK
AC;10;0.05%;ICE-HK
Act;10;0.05%;ICE-HK
air;10;0.05%;ICE-HK
airport;10;0.05%;ICE-HK
bedding;10;0.05%;ICE-HK
bone;10;0.05%;ICE-HK
century;10;0.05%;ICE-HK
CHAMBER;10;0.05%;ICE-HK
claim;10;0.05%;ICE-HK
class;10;0.05%;ICE-HK
command;10;0.05%;ICE-HK
Company;10;0.05%;ICE-HK
comparison;10;0.05%;ICE-HK
conclusion;10;0.05%;ICE-HK
connection;10;0.05%;ICE-HK
consciousness;10;0.05%;ICE-HK
date;10;0.05%;ICE-HK
door;10;0.05%;ICE-HK
Dr.;10;0.05%;ICE-HK
Dynasty;10;0.05%;ICE-HK
effect;10;0.05%;ICE-HK
effects;10;0.05%;ICE-HK
emphasis;10;0.05%;ICE-HK
implications;10;0.05%;ICE-HK
individuals;10;0.05%;ICE-HK
issue;10;0.05%;ICE-HK
length;10;0.05%;ICE-HK
limbs;10;0.05%;ICE-HK
missionaries;10;0.05%;ICE-HK
mm;10;0.05%;ICE-HK
mode;10;0.05%;ICE-HK
modes;10;0.05%;ICE-HK
Mr.;10;0.05%;ICE-HK
mutations;10;0.05%;ICE-HK
noise;10;0.05%;ICE-HK
participation;10;0.05%;ICE-HK
persons;10;0.05%;ICE-HK
platform;10;0.05%;ICE-HK
Rail;10;0.05%;ICE-HK
reason;10;0.05%;ICE-HK
region;10;0.05%;ICE-HK
relationships;10;0.05%;ICE-HK
requirement;10;0.05%;ICE-HK
Rise;10;0.05%;ICE-HK
science;10;0.05%;ICE-HK
section;10;0.05%;ICE-HK
sections;10;0.05%;ICE-HK
security;10;0.05%;ICE-HK
seriousness;10;0.05%;ICE-HK
speaker;10;0.05%;ICE-HK
spine;10;0.05%;ICE-HK
Surgery;10;0.05%;ICE-HK
traffic;10;0.05%;ICE-HK
values;10;0.05%;ICE-HK
viaduct;10;0.05%;ICE-HK
week;10;0.05%;ICE-HK
Wind;10;0.05%;ICE-HK
word;10;0.05%;ICE-HK
Ability;9;0.05%;ICE-HK
articles;9;0.05%;ICE-HK
benefits;9;0.05%;ICE-HK
Bible;9;0.05%;ICE-HK
billion;9;0.05%;ICE-HK
biopsy;9;0.05%;ICE-HK
